feature,lr,sgd,rf,xgb,lgb,sum_norm,rank
loan_age,0.093435,0.075129,0.049736,0.026975,0.090600,0.335875,1
is_high_bal,0.126345,0.086833,0.012114,0.077022,0.031733,0.334047,2
orig_upb,0.023876,0.013917,0.089707,0.032753,0.129400,0.289653,3
logit_rate_spread_to_10y,0.006386,0.004211,0.107961,0.155984,0.008333,0.282875,4
upb_fraction,0.041314,0.027858,0.083176,0.036765,0.074200,0.263313,5
rate_spread_to_10y,0.003900,0.005765,0.096157,0.084051,0.043933,0.233806,6
spread_pos,0.054367,0.039791,0.085125,0.019763,0.022133,0.221179,7
gs10_monthly,0.002500,0.005505,0.105001,0.047782,0.054800,0.215588,8
remaining_months_to_mat,0.005147,0.008235,0.076498,0.038961,0.083733,0.212574,9
age_sq,0.058655,0.045999,0.050076,0.024183,0.017667,0.196580,10
pct_term_elapsed,0.036001,0.026572,0.043930,0.013603,0.074467,0.194573,11
rate_duration,0.011942,0.006691,0.065434,0.008934,0.030867,0.123868,12
orig_loan_term,0.013088,0.019530,0.006677,0.081390,0.003133,0.123818,13
ph_delinq_count,0.011241,0.007311,0.019947,0.038937,0.046200,0.123636,14
in_forbearance,0.047102,0.036767,0.000899,0.013989,0.007333,0.106090,15
seasoning_bucket_61-120m,0.048522,0.042236,0.008303,0.004666,0.000267,0.103994,16
loan_purpose_P,0.004501,0.057406,0.003161,0.014274,0.017133,0.096475,17
is_investor,0.014458,0.040295,0.003619,0.014133,0.014733,0.087238,18
property_type_MH,0.037102,0.025878,0.000436,0.010804,0.004267,0.078487,19
is_judicial_state,0.012415,0.007758,0.009534,0.020571,0.021533,0.071811,20
first_time_buyer,0.010829,0.006542,0.003177,0.027013,0.024067,0.071628,21
occupancy_status_P,0.010306,0.023593,0.003937,0.016696,0.014733,0.069265,22
property_type_CP,0.029581,0.021275,0.000176,0.010389,0.003733,0.065154,23
modified,0.032087,0.029483,0.000290,0.002182,0.000600,0.064642,24
seasoning_bucket_120m+,0.024108,0.023737,0.002378,0.000838,0.000000,0.051061,25
fico,0.001579,0.001273,0.007091,0.004962,0.036000,0.050905,26
seasoning_bucket_37-60m,0.019517,0.021996,0.002822,0.006174,0.000267,0.050776,27
is_refi,0.000874,0.037143,0.002930,0.003883,0.004867,0.049697,28
orig_ltv,0.000742,0.000285,0.006031,0.006641,0.035267,0.048966,29
property_type_SF,0.011661,0.008371,0.002038,0.014053,0.008200,0.044323,30
month_of_year_2,0.019785,0.012813,0.000840,0.005652,0.004467,0.043557,31
month_of_year_5,0.016321,0.011067,0.000501,0.009407,0.003467,0.040763,32
fico_bucket_SuperPrime,0.012403,0.008125,0.001491,0.012593,0.003533,0.038145,33
occupancy_status_S,0.000640,0.030624,0.000341,0.002665,0.000200,0.034470,34
term_15y,0.006537,0.013333,0.005858,0.005957,0.000933,0.032618,35
current_interest_rate,0.001872,0.002148,0.008954,0.005696,0.012067,0.030737,36
channel_R,0.008488,0.005056,0.001551,0.005971,0.009600,0.030666,37
month_of_year_3,0.012705,0.009973,0.000467,0.002640,0.003267,0.029052,38
month_of_year_4,0.011236,0.007270,0.000529,0.004213,0.005133,0.028381,39
month_of_year_12,0.005701,0.001842,0.001145,0.013642,0.005067,0.027397,40
has_deferral,0.013922,0.010844,0.000081,0.001396,0.000200,0.026443,41
is_cashout,0.000961,0.018518,0.000766,0.003319,0.002800,0.026364,42
loan_purpose_R,0.000309,0.017435,0.002083,0.004079,0.001733,0.025639,43
month_of_year_9,0.006835,0.004781,0.000597,0.006469,0.005867,0.024549,44
equity_proxy,0.000742,0.000285,0.005897,0.006874,0.010667,0.024465,45
month_of_year_7,0.011514,0.007119,0.000498,0.003342,0.001933,0.024406,46
month_of_year_11,0.010691,0.007162,0.000402,0.003308,0.002333,0.023896,47
month_of_year_6,0.008280,0.005639,0.000296,0.004175,0.003200,0.021590,48
orig_interest_rate,0.001589,0.001606,0.007830,0.003964,0.005733,0.020722,49
property_type_PU,0.004044,0.003392,0.001743,0.004297,0.003333,0.016809,50
seasoning_bucket_13-36m,0.004512,0.001911,0.002367,0.003895,0.003067,0.015752,51
channel_C,0.005853,0.003648,0.000599,0.003222,0.002333,0.015655,52
has_ppm,0.002314,0.010842,0.000000,0.001856,0.000067,0.015079,53
vintage_year_infrequent_sklearn,0.002921,0.010264,0.000001,0.001468,0.000000,0.014654,54
fico_bucket_Prime,0.007556,0.004550,0.000552,0.001670,0.000067,0.014395,55
high_ltv,0.004491,0.002746,0.001431,0.003337,0.000400,0.012405,56
vintage_year_2014,0.004536,0.003005,0.000388,0.002928,0.000400,0.011257,57
month_of_year_10,0.005072,0.003127,0.000308,0.001456,0.000067,0.010030,58
fico_x_refi,0.004722,0.003868,0.000114,0.001113,0.000067,0.009884,59
month_of_year_8,0.003092,0.002108,0.000321,0.003495,0.000733,0.009749,60
dti,0.000052,0.001666,0.003176,0.001746,0.002933,0.009573,61
refi_incentive,0.001416,0.004664,0.000105,0.000831,0.000000,0.007016,62
burnout,0.002347,0.002659,0.000128,0.001056,0.000000,0.006190,63
fico_bucket_infrequent_sklearn,0.001074,0.003478,0.000000,0.000626,0.000000,0.005178,64
ltv_x_refi,0.000900,0.001638,0.000101,0.001080,0.000133,0.003852,65
burnout_x_refi,0.000548,0.001322,0.000100,0.001133,0.000000,0.003103,66
refi_incentive_pos,0.000210,0.000897,0.000082,0.001058,0.000000,0.002247,67
loan_purpose_infrequent_sklearn,0.000226,0.001189,0.000000,0.000000,0.000000,0.001415,68
excess_principal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,69
is_io,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,70
is_hltv_refi,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,71
